                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 2.0191,                0.97007,                 1.1052,                0.71618,                 0.4032,                0.50613,                0.23084,                 2.0011,                0.92933,                 1.1196,              0.0011189,              0.0011189,              0.0011189
                     91,                  2.034,                0.97585,                 1.1002,                0.71509,                0.40467,                0.50649,                0.23251,                  1.994,                0.92739,                 1.1177,               0.001109,               0.001109,               0.001109
                     92,                 2.0179,                0.97289,                 1.1022,                0.71871,                0.40522,                0.50699,                0.23117,                 2.0058,                0.92451,                  1.118,              0.0010991,              0.0010991,              0.0010991
                     93,                 2.0069,                 0.9619,                 1.1028,                0.71913,                0.40521,                0.50764,                0.23387,                 1.9868,                0.92026,                 1.1142,              0.0010892,              0.0010892,              0.0010892
                     94,                 2.0108,                0.96587,                 1.0994,                0.71496,                0.40703,                0.50858,                0.23092,                  2.008,                0.92378,                 1.1188,              0.0010793,              0.0010793,              0.0010793
                     95,                 2.0141,                0.96547,                 1.0973,                0.71778,                0.40691,                0.50843,                0.23333,                 1.9892,                0.91794,                 1.1141,              0.0010694,              0.0010694,              0.0010694
                     96,                 2.0099,                0.96219,                 1.0927,                0.72184,                0.40509,                0.51013,                 0.2352,                 1.9838,                0.91558,                 1.1122,              0.0010595,              0.0010595,              0.0010595
                     97,                 1.9993,                0.96231,                 1.0958,                0.72437,                0.40367,                0.50853,                 0.2345,                 1.9837,                0.91758,                 1.1121,              0.0010496,              0.0010496,              0.0010496
                     98,                 2.0119,                0.96766,                 1.0918,                 0.7195,                0.40783,                 0.5108,                0.23526,                  1.985,                0.91455,                 1.1118,              0.0010397,              0.0010397,              0.0010397
                     99,                 1.9921,                0.95342,                 1.0907,                0.72259,                0.40992,                0.51278,                0.23608,                 1.9875,                0.91346,                 1.1103,              0.0010298,              0.0010298,              0.0010298
                    100,                 2.0021,                0.96084,                 1.0965,                0.72425,                0.40804,                0.51217,                0.23683,                  1.978,                0.91128,                  1.109,              0.0010199,              0.0010199,              0.0010199
                    101,                 1.9917,                0.95532,                 1.0923,                0.72064,                0.40826,                0.51248,                0.23835,                 1.9663,                0.90809,                 1.1065,                0.00101,                0.00101,                0.00101
                    102,                 1.9963,                0.95556,                 1.0907,                0.72499,                0.40969,                0.51343,                0.23917,                 1.9644,                 0.9051,                 1.1059,              0.0010001,              0.0010001,              0.0010001
                    103,                 1.9906,                0.95346,                 1.0891,                0.72212,                0.40896,                0.51355,                 0.2388,                 1.9638,                0.90213,                 1.1058,              0.0009902,              0.0009902,              0.0009902
                    104,                 1.9783,                0.94886,                 1.0855,                0.72167,                0.41166,                0.51542,                0.23998,                 1.9663,                0.90356,                 1.1045,              0.0009803,              0.0009803,              0.0009803
                    105,                 1.9802,                0.94431,                 1.0855,                0.72359,                0.41197,                0.51424,                0.23942,                 1.9634,                 0.9022,                 1.1059,              0.0009704,              0.0009704,              0.0009704
                    106,                 1.9722,                0.94229,                 1.0875,                0.72338,                0.40998,                0.51486,                0.23956,                 1.9616,                0.90099,                 1.1036,              0.0009605,              0.0009605,              0.0009605
                    107,                 1.9665,                0.94056,                 1.0838,                0.72621,                0.41076,                0.51664,                0.24164,                 1.9551,                0.89871,                 1.1021,              0.0009506,              0.0009506,              0.0009506
                    108,                 1.9814,                0.94538,                  1.088,                0.72786,                0.41004,                0.51581,                0.24201,                 1.9486,                0.89549,                 1.1015,              0.0009407,              0.0009407,              0.0009407
                    109,                 1.9796,                0.94704,                 1.0848,                0.72783,                0.41075,                0.51682,                0.24175,                 1.9533,                0.89749,                  1.101,              0.0009308,              0.0009308,              0.0009308
                    110,                  1.961,                0.93965,                 1.0854,                 0.7298,                0.41186,                0.51749,                0.24293,                 1.9491,                0.89444,                 1.1003,              0.0009209,              0.0009209,              0.0009209
                    111,                 1.9566,                0.93053,                 1.0759,                0.72697,                0.41416,                0.51915,                0.24407,                 1.9475,                0.89037,                 1.1002,               0.000911,               0.000911,               0.000911
                    112,                 1.9604,                0.93309,                 1.0794,                0.72916,                0.41307,                0.51798,                0.24308,                 1.9474,                0.89233,                 1.0991,              0.0009011,              0.0009011,              0.0009011
                    113,                 1.9546,                0.93145,                 1.0794,                0.72819,                0.41401,                0.51842,                 0.2449,                 1.9365,                 0.8897,                 1.0967,              0.0008912,              0.0008912,              0.0008912
                    114,                 1.9629,                0.93298,                 1.0757,                0.73055,                0.41474,                0.52009,                0.24515,                 1.9401,                 0.8877,                 1.0976,              0.0008813,              0.0008813,              0.0008813
                    115,                 1.9521,                 0.9278,                 1.0761,                0.72673,                 0.4146,                0.51869,                0.24519,                 1.9363,                0.88625,                 1.0965,              0.0008714,              0.0008714,              0.0008714
                    116,                 1.9462,                0.93257,                 1.0805,                0.73156,                0.41387,                0.52061,                0.24738,                 1.9254,                0.88231,                 1.0942,              0.0008615,              0.0008615,              0.0008615
                    117,                 1.9417,                0.92205,                 1.0758,                0.73088,                0.41605,                0.52085,                 0.2468,                 1.9306,                0.88159,                 1.0937,              0.0008516,              0.0008516,              0.0008516
                    118,                 1.9434,                0.92786,                 1.0738,                0.72882,                0.41639,                0.52066,                0.24714,                 1.9261,                0.88242,                 1.0917,              0.0008417,              0.0008417,              0.0008417
                    119,                 1.9349,                0.91942,                 1.0705,                0.73134,                0.41543,                0.52134,                0.24821,                  1.922,                0.87945,                 1.0909,              0.0008318,              0.0008318,              0.0008318
                    120,                 1.9345,                0.91926,                 1.0703,                0.73473,                0.41633,                0.52234,                0.24932,                 1.9173,                0.87603,                   1.09,              0.0008219,              0.0008219,              0.0008219
                    121,                  1.931,                0.91822,                 1.0708,                0.73324,                0.41538,                0.52163,                0.24924,                 1.9191,                0.87818,                 1.0897,               0.000812,               0.000812,               0.000812
                    122,                 1.9324,                 0.9174,                 1.0679,                0.73474,                 0.4164,                0.52233,                0.25043,                 1.9146,                 0.8761,                 1.0878,              0.0008021,              0.0008021,              0.0008021
                    123,                 1.9363,                0.92012,                 1.0718,                0.73423,                0.41734,                0.52418,                0.25066,                 1.9139,                0.87465,                 1.0879,              0.0007922,              0.0007922,              0.0007922
